Time,Name,Nationality,Date,Meet,Location
10:55.6,"John Derbyshire
Paul Radmilovic
William Foster
Henry Taylor", Great Britain,24 July 1908,Olympic Games,"London, United Kingdom"
10:26.4,"Ken Huszagh
Duke Kahanamoku
Perry McGillivray
Harry Hebner", United States,12 July 1912,Olympic Games,"Stockholm, Sweden"
10:14.0,"Harold Hardwick
Malcolm Champion
Leslie Boardman
Cecil Healy", Australasia,12 July 1912,Olympic Games,"Stockholm, Sweden"
10:11.6,"Cecil Healy
Malcolm Champion
Leslie Boardman
Harold Hardwick", Australasia,15 July 1912,Olympic Games,"Stockholm, Sweden"
10:04.4,"Perry McGillivray
Pua Kealoha
Norman Ross
Duke Kahanamoku", United States,29 August 1920,Olympic Games,"Antwerp, Belgium"
9:53.4,"Wally O'Connor
Harry Glancy
Ralph Breyer
Johnny Weissmuller", United States,20 July 1924,Olympic Games,"Paris, France"
9:49.6,"August Heitmann
Joachim Rademacher
Friedrich Berger
Herbert Heinrich", Germany,1927,European Championships,"Bologna, Italy"
9:38.8,"Paul Samson
Austin Clapp
David Young
Johnny Weissmuller", United States,11 August 1928,Olympic Games,"Amsterdam, Netherlands"
9:36.2,"Austin Clapp
Walter Laufer
George Kojac
Johnny Weissmuller", United States,11 August 1928,Olympic Games,"Amsterdam, Netherlands"
9:34.0,"András Wanié
László Szabados
András Székely
István Bárány", Hungary,1931,European Championships,"Paris, France"
8:58.4,"Yasuji Miyazaki (2:14.1)
Masanori Yusa (2:14.7)
Takashi Yokoyama (2:14.8)
Hisakichi Toyoda (2:14.8)", Japan,9 August 1932,Olympic Games,"Los Angeles, United States"
8:52.2,"Masanori Yusa
Shozo Makino
Sunao Ishiharada
Hiroshi Negami", Japan,19 August 1935,-,"Tokyo, Japan"
8:51.5,"Masanori Yusa
Shigeo Sugiura
Masaharu Taguchi
Shigeo Arai", Japan,11 August 1936,Olympic Games,"Berlin, Germany"
8:46.0,"Wally Ris
Jimmy McLane
Wally Wolf
Bill Smith", United States,3 August 1948,Olympic Games,"London, United Kingdom"
8:45.4,"Yoshihiro Hamaguchi
Shigeyuki Maruyama
Shuichi Murayama
Hironoshin Furuhashi", Japan,18 August 1949,-,"Los Angeles, United States"
8:43.2,"W. Farnsworth
L. Munson
J. Blum
R. Reid", United States,24 February 1950,-,"New Haven, United States"
8:40.6,"Yoshihiro Hamaguchi
Shuichi Murayama
Shiro Hashizume
Hironoshin Furuhashi", Japan,2 April 1950,-,"Marília, Brazil"
8:33.0,"Joseph Bernardo
Willy Blioch
Jean Boiteux
Alex Jany", France,2 August 1951,-,"Marseille, France"
8:29.4,"Wayne Moore
Jimmy McLane
Don Sheff
Dick Thoman", United States,16 February 1952,-,"New Haven, United States"
8:24.5,"Boris Nikitin
Vladimir Strushanov
Gennadi Nikolayev
Vitaly Sorokin", Soviet Union,4 November 1956,-,"Moscow, Soviet Union"
8:23.6,"Kevin O'Halloran
John Devitt
Murray Rose
Jon Henricks", Australia,3 December 1956,Olympic Games,"Melbourne, Australia"
8:21.6,"Tsuyoshi Yamanaka
Toshizo Umemoto
Makoto Fukui
Tatsuo Fujimoto", Japan,22 July 1959,-,"Tokyo, Japan"
