Time,Name,Nationality,Date,Meet,Location
8:18.7,"Tsuyoshi Yamanaka
Makoto Fukui
Katsunori Kenjo
Tatsuo Fujimoto", Japan,26 July 1959,-,"Osaka, Japan"
8:17.0,"Alan Somers
Peter Sintz
George Breen
Mike Troy", United States,23 July 1960,-,"Toledo, Ohio, United States"
8:16.6,"David Dickson
John Konrads
Jon Henricks
Murray Rose", Australia,6 August 1960,-,"Townsville, Australia"
8:10.2,"George Harrison
Dick Blick
Mike Troy
Jeff Farrell", United States,1 September 1960,Olympic Games,"Rome, Italy"
8:09.8,"Tatsuo Fujimoto
Yukiaki Okabe
Makoto Fukui
Tsuyoshi Yamanaka", Japan,21 April 1963,-,"Tokyo, Japan"
8:07.6,"Steve Clark
Ed Townsend
Don Schollander
Michael Wall", United States,10 August 1963,-,"Chicago, United States"
8:03.7,"Richard McDonough
Don Schollander
Roy Saari
Ed Townsend", United States,19 August 1963,-,"Tokyo, Japan"
8:01.8,"David Lyons
Don Schollander
Bill Mettler
Michael Wall", United States,28 September 1964,-,"Los Angeles, United States"
7:52.1,"Roy Saari
Gary Ilman
Don Schollander
Steve Clark", United States,18 October 1964,-,"Tokyo, Japan"
7:50.8,"Greg Rogers
Mike Wenden
Graham White
Bill Devenish", Australia,24 July 1970,British Commonwealth Games,"Edinburgh, United Kingdom"
7:48.0,"Gary Hall, Sr.
Mark Lambert
Tom McBreen
John Kinsella", United States,28 August 1970,-,"Tokyo, Japan"
7:45.8,"Jerry Heidenreich
Frank Heckl
Steve Genter
Jim McConica", United States,9 August 1971,Pan American Games,"Cali, Colombia"
7:43.3,"Jerry Heidenreich
Tom McBreen
Mark Spitz
Fred Tyler", United States,10 September 1971,-,"Minsk, Soviet Union"
7:35.78,"John Kinsella
Fred Tyler
Steve Genter
Mark Spitz", United States,31 August 1972,Olympic Games,"Munich, Germany"
7:33.22,"Robin Backhaus
Richard Klatt
Kurt Krumpholz
Jim Montgomery", United States,7 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
7:30.54,"Rex Favero
Bruce Furniss
Tim Shaw
Steve Furniss", United States,22 August 1975,-,"Kansas City, United States"
7:30.33,"Mike Bruner
Bruce Furniss
Doug Northway
Tim Shaw", United States,21 July 1976,Olympic Games,"Montreal, Canada"
7:23.22,"Mike Bruner
Bruce Furniss
John Naber
Jim Montgomery", United States,21 July 1976,Olympic Games,"Montreal, Canada"
7:20.82,"Rowdy Gaines
Bruce Furniss
Bill Forrester
Bobby Hackett", United States,24 August 1978,World Championships,"West Berlin, West Germany"
7:20.40,"Andreas Schmidt
Michael Gross
Alexander Schowtka
Thomas Fahrner", West Germany,23 August 1983,European Championships,"Rome, Italy"
7:18.87,"Geoff Gaberino (1:49.80)
David Larson (1:50.18)
Bruce Hayes (1:50.04)
Richard Saeger (1:48.85)", United States,30 July 1984,Olympic Games,"Los Angeles, United States"
7:15.69,"Mike Heath (1:48.67)
David Larson (1:49.01)
Jeff Float (1:49.60)
Bruce Hayes (1:48.41)", United States,30 July 1984,Olympic Games,"Los Angeles, United States"
7:13.10,"Peter Sitt
Rainer Henkel
Thomas Fahrner
Michael Gross", West Germany,19 August 1987,European Championships,"Strasbourg, France"
7:12.51,"Troy Dalbey (1:49.37)
Matt Cetlinski (1:48.44)
Doug Gjertsen (1:48.26)
Matt Biondi (1:46.44)", United States,21 September 1988,Olympic Games,"Seoul, South Korea"
 7:11.95 ," (1:49.55)Dmitry Lepikov
 (1:46.58)Vladimir Pyshnenko
 (1:48.99)Veniamin Tayanovich
 (1:46.83)Yevgeny Sadovyi", Unified Team,27 July 1992,Olympic Games,"Barcelona, Spain"
7:11.86,"Ian Thorpe (1:47.48)
Daniel Kowalski (1:47.81)
Matthew Dunn (1:49.15)
Michael Klim (1:47.42)", Australia,13 September 1998,Commonwealth Games,"Kuala Lumpur, Malaysia"
7:08.79,"Ian Thorpe (1:46.28)
Bill Kirby (1:48.96)
Grant Hackett (1:46.30)
Michael Klim (1:47.25)", Australia,25 August 1999,Pan Pacific Championships,"Sydney, Australia"
7:07.05,"Ian Thorpe (1:46.03)
Michael Klim (1:46.40)
Todd Pearson (1:47.36)
Bill Kirby (1:47.26)", Australia,19 Sep 2000,Olympic Games,"Sydney, Australia"
7:04.66,"Grant Hackett (1:46.11)
Michael Klim (1:46.49)
Bill Kirby (1:47.92)
Ian Thorpe (1:44.14)", Australia,27 July 2001,World Championships,"Fukuoka, Japan"
7:03.24,"Michael Phelps (1:45.36)
Ryan Lochte (1:45.86)
Klete Keller (1:46.31)
Peter Vanderkaay (1:45.71)", United States,30 March 2007,World Championships,"Melbourne, Australia"
6:58.56,"Michael Phelps (1:43.31)
Ryan Lochte (1:44.28)
Ricky Berens (1:46.29)
Peter Vanderkaay (1:44.68)", United States,13 August 2008,Olympic Games,"Beijing, China"
6:58.55,"Michael Phelps (1:44.49)
Ricky Berens (1:44.13)
David Walters (1:45.47)
Ryan Lochte (1:44.46)", United States,31 July 2009,World Championships,"Rome, Italy"
