Time,Name,Nationality,Date,Meet,Location
5:46.6,Sylvia Ruuska, United States,27 June 1958,-,"Los Angeles, United States"
5:43.7,Sylvia Ruuska, United States,1 August 1958,-,"Topeka, United States"
5:41.1,Sylvia Ruuska, United States,24 February 1959,-,"Melbourne, Australia"
5:40.2,Sylvia Ruuska, United States,17 July 1959,-,"Redding, United States"
5:36.5,Donna de Varona, United States,15 July 1960,-,"Indianapolis, United States"
5:34.5,Donna de Varona, United States,11 August 1961,-,"Philadelphia, United States"
5:29.7,Donna de Varona, United States,2 June 1962,-,"Los Altos, United States"
5:27.4,Sharon Finneran, United States,26 July 1962,-,"Osaka, Japan"
5:24.7,Donna de Varona, United States,26 July 1962,-,"Osaka, Japan"
5:21.9,Sharon Finneran, United States,28 July 1962,-,"Osaka, Japan"
5:16.5,Donna de Varona, United States,10 March 1964,-,"Lima, Peru"
5:14.9,Donna de Varona, United States,30 August 1964,-,"New York City, United States"
5:11.7,Claudia Kolb, United States,9 July 1967,Santa Clara International,"Santa Clara, United States"
5:09.7,Claudia Kolb, United States,1 August 1967,Pan American Games,"Winnipeg, Canada"
5:08.2,Claudia Kolb, United States,19 August 1967,AAU Nationals,"Philadelphia, United States"
5:04.7,Claudia Kolb, United States,24 August 1968,US Olympic Trials,"Los Angeles, United States"
5:02.97,Gail Neall, Australia,31 August 1972,Olympic Games,"Munich, West Germany"
5:01.10,Angela Franke, East Germany,18 August 1973,-,"Utrecht, Netherlands"
4:57.51,Gudrun Wegner, East Germany,6 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
4:52.42,Ulrike Tauber, East Germany,21 August 1974,European Championships,"Vienna, Austria"
4:52.20,Ulrike Tauber, East Germany,7 June 1975,East German Championships,"Wittenberg, East Germany"
4:48.79,Birgit Treiber, East Germany,1 June 1976,East German Championships,"East Berlin, East Germany"
4:42.77,Ulrike Tauber, East Germany,24 July 1976,Olympic Games,"Montreal, Canada"
4:40.83,Tracy Caulkins, United States,23 August 1978,World Championships,"West Berlin, West Germany"
4:39.96,Petra Schneider, East Germany,30 March 1980,-,"Leningrad, Soviet Union"
4:38.44,Petra Schneider, East Germany,27 May 1980,-,"Magdeburg, East Germany"
4:36.29,Petra Schneider, East Germany,26 July 1980,Olympic Games,"Moscow, Soviet Union"
4:36.10,Petra Schneider, East Germany,26 July 1982,World Championships,"Guayaquil, Ecuador"
4:34.79,Chen Yan, China,13 October 1997,Chinese National Games,"Shanghai, China"
4:33.59,Yana Klochkova, Ukraine,16 September 2000,Olympic Games,"Sydney, Australia"
4:32.89,Katie Hoff, United States,1 April 2007,World Championships,"Melbourne, Australia"
4:31.46,Stephanie Rice, Australia,22 March 2008,Australian Championships,"Sydney, Australia"
4:31.12,Katie Hoff, United States,29 June 2008,US Olympic Trials,"Omaha, United States"
4:29.45,Stephanie Rice, Australia,10 August 2008,Olympic Games,"Beijing, China"
4:28.43,Ye Shiwen, China,28 July 2012,Olympic Games,"London, United Kingdom"
4:26.36,Katinka Hosszú, Hungary,6 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
4:25.87,Summer McIntosh, Canada,1 April 2023,Canadian Trials,"Toronto, Canada"
4:24.38,Summer McIntosh, Canada,16 May 2024,Canadian Trials,"Toronto, Canada"
4:23.65,Summer McIntosh, Canada,11 June 2025,Canadian Trials,"Victoria, Canada"
