Time,Name,Nationality,Date,Meet,Location
6:30.2,Ethelda Bleibtrey, United States,16 August 1919,-,"New York City, United States"
6:16.6,Hilda James, Great Britain,29 July 1921,-,"Leeds, United Kingdom"
5:53.2,Gertrude Ederle, United States,4 August 1922,-,"Indianapolis, United States"
5:51.4,Martha Norelius, United States,23 January 1927,-,"Coral Gables, United States"
5:49.6,Martha Norelius, United States,30 June 1928,-,"New York City, United States"
5:42.8,Martha Norelius, United States,6 August 1928,Olympic Games,"Amsterdam, Netherlands"
5:39.2,Martha Norelius, United States,27 August 1928,-,"Vienna, Austria"
5:31.0,Helene Madison, United States,3 February 1931,-,"Seattle, United States"
5:28.5,Helene Madison, United States,13 August 1932,-,"Los Angeles, United States"
5:16.0,Willy den Ouden, Netherlands,12 July 1934,-,"Rotterdam, Netherlands"
5:14.2,Ragnhild Hveger, Denmark,10 February 1937,-,"Copenhagen, Denmark"
5:14.0,Ragnhild Hveger, Denmark,3 October 1937,-,"Ghent, Belgium"
5:12.4,Ragnhild Hveger, Denmark,14 November 1937,-,"Magdeburg, Germany"
5:11.0,Ragnhild Hveger, Denmark,12 December 1937,-,"Copenhagen, Denmark"
5:08.2,Ragnhild Hveger, Denmark,16 January 1938,-,"Copenhagen, Denmark"
5:06.1,Ragnhild Hveger, Denmark,1 August 1938,-,"Copenhagen, Denmark"
5:05.4,Ragnhild Hveger, Denmark,8 September 1940,-,"Svendborg, Denmark"
5:00.1,Ragnhild Hveger, Denmark,15 September 1940,-,"Copenhagen, Denmark"
4:50.8,Lorraine Crapp, Australia,25 August 1956,-,"Townsville, Australia"
4:47.2,Lorraine Crapp, Australia,20 October 1956,-,"Sydney, Australia"
4:45.4,Ilsa Konrads, Australia,9 January 1960,-,"Sydney, Australia"
4:44.5,Chris von Saltza, United States,5 August 1960,US Olympic Trials,"Detroit, United States"
4:42.0,Marilyn Ramenofsky, United States,11 July 1964,-,"Los Altos, United States"
4:41.7,Marilyn Ramenofsky, United States,1 August 1964,US National Championships,"Los Altos, United States"
4:39.5,Marilyn Ramenofsky, United States,31 August 1964,-,"New York City, United States"
4:39.2,Martha Randall, United States,14 August 1965,-,"Maumee, United States"
4:38.0,Martha Randall, United States,26 August 1965,-,Monaco
4:36.8,Pam Kruse, United States,30 June 1967,-,"Fort Lauderdale, United States"
4:36.4,Pam Kruse, United States,7 July 1967,Santa Clara International,"Santa Clara, United States"
4:32.6,Debbie Meyer, United States,27 July 1967,Pan American Games,"Winnipeg, Canada"
4:29.0,Debbie Meyer, United States,18 August 1967,US National Championships,"Philadelphia, United States"
4:26.7,Debbie Meyer, United States,1 August 1967,US National Championships,"Lincoln, United States"
4:24.6,Debbie Meyer, United States,25 August 1968,US Olympic Trials,"Los Angeles, United States"
4:24.3,Debbie Meyer, United States,20 August 1970,US National Championships,"Los Angeles, United States"
4:22.6,Karen Moras, Australia,30 April 1971,Coca-Cola International,"London, United Kingdom"
4:21.2,Shane Gould, Australia,9 July 1971,Santa Clara International,"Santa Clara, United States"
4:19.04,Shane Gould, Australia,30 August 1972,Olympic Games,"Munich, West Germany"
4:18.07,Keena Rothhammer, United States,22 August 1973,US National Championships,"Louisville, United States"
4:17.33,Heather Greenwood, United States,28 June 1974,Santa Clara International,"Santa Clara, United States"
4:15.77,Shirley Babashoff, United States,22 August 1974,US National Championships,"Concord, United States"
4:14.76,Shirley Babashoff, United States,20 June 1975,US World Championships Trials,"Long Beach, United States"
4:11.69,Barbara Krause, East Germany,3 June 1976,East German Championships,"East Berlin, East Germany"
4:09.89,Petra Thümer, East Germany,20 July 1976,Olympic Games,"Montreal, Canada"
4:08.91,Petra Thümer, East Germany,17 August 1977,European Championships,"Jönköping, Sweden"
4:07.66,Kim Linehan, United States,2 August 1978,US National Championships,"The Woodlands, United States"
4:06.28,Tracey Wickham, Australia,24 August 1978,World Championships,"West Berlin, West Germany"
4:05.45,Janet Evans, United States,20 December 1987,US Open,"Orlando, United States"
4:03.85,Janet Evans, United States,22 September 1988,Olympic Games,"Seoul, South Korea"
4:03.03,Laure Manaudou, France,12 May 2006,French Championships,"Tours, France"
4:02.13,Laure Manaudou, France,6 August 2006,European Championships,"Budapest, Hungary"
4:01.53,Federica Pellegrini, Italy,24 March 2008,European Championships,"Eindhoven, Netherlands"
4:00.66,Joanne Jackson, Great Britain,16 March 2009,British Championships,"Sheffield, United Kingdom"
4:00.41,Federica Pellegrini, Italy,27 June 2009,Mediterranean Games,"Pescara, Italy"
3:59.15,Federica Pellegrini, Italy,26 July 2009,World Championships,"Rome, Italy"
3:58.86,Katie Ledecky, United States,9 August 2014,US National Championships,"Irvine, United States"
3:58.37,Katie Ledecky, United States,23 August 2014,Pan Pacific Championships,"Gold Coast, Australia"
3:56.46,Katie Ledecky, United States,7 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
3:56.40,Ariarne Titmus, Australia,22 May 2022,Australian Championships,"Adelaide, Australia"
3:56.08,Summer McIntosh, Canada,28 March 2023,Canadian Trials,"Toronto, Canada"
3:55.38,Ariarne Titmus, Australia,23 July 2023,World Championships,"Fukuoka, Japan"
3:54.18,Summer McIntosh, Canada,7 June 2025,Canadian Trials,"Victoria, Canada"
