Time,Name,Nationality,Date,Meet,Location
11:25.4,Henry Taylor, Great Britain,"Jul 21, 1906",-,"Runcorn, United Kingdom"
11:24.2,Norman Ross, United States,"Jan 10, 1920",-,"Sydney, Australia"
11:05.2,Boy Charlton, Australia,"Jan 13, 1923",-,"Sydney, Australia"
10:51.8,Boy Charlton, Australia,"Jan 19, 1924",-,"Sydney, Australia"
10:43.6,Arne Borg, Sweden,"Apr 11, 1924",-,"Honolulu, Hawaii"
10:37.4,Arne Borg, Sweden,"Aug 25, 1925",-,"Harnäs, Sweden"
10:32.0,Boy Charlton, Australia,"Jan 8, 1927",-,"Sydney, Australia"
10:22.2,Johnny Weissmuller, United States,"Jul 27, 1927",-,"Honolulu, Hawaii"
10:19.6,Jean Taris, France,"May 30, 1930",-,"Paris, France"
10:17.2,Jean Taris, France,"Jun 9, 1931",-,"Cannes, France"
10:16.6,Shozo Makino, Japan,"Aug 30, 1931",-,"Osaka, Japan"
10:15.6,Jean Taris, France,"Jun 21, 1932",-,"Cannes, France"
10:08.6,Shozo Makino, Japan,"Jun 25, 1933",-,"Tokyo, Japan"
10:01.2,Shozo Makino, Japan,"Sep 16, 1933",-,"Tokyo, Japan"
9:55.8,Shozo Makino, Japan,"Sep 15, 1934",-,"Tokyo, Japan"
9:50.9,Bill Smith, United States,"Jul 24, 1941",-,"Honolulu, Hawaii"
9:45.6,Hironoshin Furuhashi, Japan,"Jun 26, 1949",-,"Tokyo, Japan"
9:45.0,Shiro Hashizume, Japan,"Aug 16, 1949",-,"Los Angeles, United States"
9:40.7,Hironoshin Furuhashi, Japan,"Aug 16, 1949",-,"Los Angeles, United States"
9:35.5,Hironoshin Furuhashi, Japan,"Aug 16, 1949",-,"Los Angeles, United States"
9:30.7,Ford Konno, United States,"Jul 7, 1951",-,"Honolulu, Hawaii"
9:15.7,George Breen, United States,"Oct 27, 1956",-,"New Haven, Connecticut, United States"
9:17.7,John Konrads, Australia,"Jan 11, 1958",-,"Sydney, Australia"
9:14.5,John Konrads, Australia,"Feb 22, 1958",-,"Melbourne, Australia"
8:59.6,John Konrads, Australia,"Jan 10, 1959",-,"Sydney, Australia"
8:51.5,Murray Rose, Australia,"Aug 26, 1962",-,"Los Altos, California, United States"
8:47.4,Semyon Belits-Geiman, Soviet Union,"Aug 3, 1966",-,"Kharkiv, Soviet Union"
8:47.3,John Bennett, Australia,"Jan 16, 1967",-,"Sydney, Australia"
8:46.8,Alain Mosconi, France,"Jul 5, 1967",-,"Monaco, Monaco"
8:42.0,Francis Luyce, France,"Jul 21, 1967",-,"Dinard, France"
8:34.3,Mike Burton, United States,"Sep 3, 1968",USA Olympic Trials,"Long Beach, California, United States"
8:28.8,Mike Burton, United States,"Aug 17, 1969",AAU Nationals,"Louisville, Kentucky, United States"
8:28.6,Graham Windeatt, Australia,"Apr 3, 1971",NSW Combined High Schools Championships,"Sydney, Australia"
8:23.8,Brad Cooper, Australia,"Jan 12, 1972",NSW State Championships,"Sydney, Australia"
8:17.60,Stephen Holland, Australia,"Aug 5, 1973",Pre World Championship meet,"Brisbane, Australia"
8:16.27,Stephen Holland, Australia,"Sep 8, 1973",World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
8:15.88,Stephen Holland, Australia,"Jan 1, 1974",Commonwealth Games,"Christchurch, New Zealand"
8:15.2,Stephen Holland, Australia,"Jan 17, 1975",QLD State Championships,"Brisbane, Australia"
8:15.02,Stephen Holland, Australia,"Jan 25, 1975",New Zealand Games,"Christchurch, New Zealand"
8:13.68,Tim Shaw, United States,"Jun 21, 1975",USA World Championship Trials,"Long Beach, California, United States"
8:09.60,Tim Shaw, United States,"Jul 13, 1975",Pre World Championship meet,"Mission Viejo, California, United States"
8:06.27,Stephen Holland, Australia,"Feb 27, 1976",AUS Olympic Trials,"Sydney, Australia"
8:02.91,Stephen Holland, Australia,"Feb 29, 1976",AUS Olympic Trials,"Sydney, Australia"
8:01.54,Bobby Hackett, United States,"Jun 21, 1976",USA Olympic Trials,"Long Beach, California, United States"
7:56.49,Vladimir Salnikov, Soviet Union,"Mar 23, 1979",URSvGDR Duel,"Minsk, Soviet Union"
7:52.83,Vladimir Salnikov, Soviet Union,"Feb 14, 1982",URS Winter Nationals,"Moscow, Soviet Union"
7:52.23,Vladimir Salnikov, Soviet Union,"Jul 14, 1983",Los Angeles International,"Los Angeles, United States"
7:50.64,Vladimir Salnikov, Soviet Union,"Jul 4, 1986",Goodwill Games,"Moscow, Soviet Union"
7:47.85,Kieren Perkins, Australia,"Aug 25, 1991",Pan Pacific Championships,"Edmonton, Canada"
7:46.60,Kieren Perkins, Australia,"Feb 16, 1992",NSW Age Group Championships,"Sydney, Australia"
7:46.00,Kieren Perkins, Australia,"August 24, 1994",Commonwealth Games,"Victoria, BC, Canada"
7:41.59,Ian Thorpe, Australia,26 March 2001,Australian Championships,"Hobart, Australia"
7:39.16,Ian Thorpe, Australia,24 July 2001,World Championships,"Fukuoka, Japan"
7:38.65,Grant Hackett, Australia,27 July 2005,World Championships,"Montreal, Canada"
7:32.12,Zhang Lin, China,29 July 2009,World Championships,"Rome, Italy"
