Time,Name,Nationality,Date,Meet,Location
1:10.5,Atie Voorbij, Netherlands,4 August 1957,-,"Rhenen, Netherlands"
1:09.6,Nancy Ramey, United States,28 June 1958,-,"Los Angeles, United States"
1:09.1,Nancy Ramey, United States,2 September 1959,-,"Chicago, United States"
1:08.9,Janice Andrew, Australia,2 April 1961,-,"Tokyo, Japan"
1:08.8,Mary Stewart, Canada,12 August 1961,-,"Philadelphia, United States"
1:08.2,Susan Doerr, United States,12 August 1961,-,"Philadelphia, United States"
1:07.3,Mary Stewart, Canada,28 July 1962,-,"Vancouver, Canada"
1:06.5,Kathy Ellis, United States,16 August 1963,-,"High Point, United States"
1:06.1,Ada Kok, Netherlands,1 September 1963,-,"Soestduinen, Netherlands"
1:05.1,Ada Kok, Netherlands,30 May 1964,-,"Blackpool, United Kingdom"
1:04.7,Sharon Stouder, United States,16 Oct 1964,Olympic Games,"Tokyo, Japan"
1:04.1,Alice Jones, United States,20 August 1970,US National Championships,"Los Angeles, United States"
1:03.9,Mayumi Aoki, Japan,21 Jul 1972,-,"Tokyo, Japan"
1:03.8,Andrea Gyarmati, Hungary,31 August 1972,Olympic Games,"Munich, West Germany"
1:03.34,Mayumi Aoki, Japan,1 Sep 1972,Olympic Games,"Munich, West Germany"
1:03.05,Kornelia Ender, East Germany,14 Apr 1973,-,"East Berlin, East Germany"
1:02.31,Kornelia Ender, East Germany,14 Jul 1973,East German Championships,"East Berlin, East Germany"
1:02.09,Rosemarie Kother, East Germany,21 August 1974,European Championships,"Vienna, Austria"
1:01.99,Rosemarie Kother, East Germany,22 August 1974,European Championships,"Vienna, Austria"
1:01.88,Rosemarie Kother, East Germany,1 Sep 1974,USA vs GDR Dual Meet,"Concord, United States"
1:01.33,Kornelia Ender, East Germany,9 Jun 1975,East German Championships,"Wittenberg, East Germany"
1:01.24,Kornelia Ender, East Germany,24 July 1975,World Championships,"Cali, Colombia"
1:00.13,Kornelia Ender, East Germany,4 June 1976,East German Championships,"East Berlin, East Germany"
1:00.13,Kornelia Ender, East Germany,22 Jul 1976,Olympic Games,"Montreal, Canada"
59.78,Christiane Knacke, East Germany,28 August 1977,USA vs GDR Dual Meet,"East Berlin, East Germany"
59.46,Andrea Pollack, East Germany,3 Jul 1978,East German Championships,"East Berlin, East Germany"
59.26,Mary T. Meagher, United States,11 Apr 1980,US Spring National Championships,"Austin, United States"
57.93,Mary T. Meagher, United States,16 August 1981,US National Championships,"Brown Deer, United States"
57.88,Jenny Thompson, United States,23 August 1999,Pan Pacific Championships,"Sydney, Australia"
56.69,Inge de Bruijn, Netherlands,27 May 2000,Super Speedo Grand Prix,"Sheffield, United Kingdom"
56.64,Inge de Bruijn, Netherlands,22 July 2000,PN Senior Regional,"Federal Way, United States"
56.61,Inge de Bruijn, Netherlands,17 September 2000,Olympic Games,"Sydney, Australia"
56.44,Sarah Sjöström, Sweden,26 July 2009,World Championships,"Rome, Italy"
56.06,Sarah Sjöström, Sweden,27 July 2009,World Championships,"Rome, Italy"
55.98,Dana Vollmer, United States,29 July 2012,Olympic Games,"London, United Kingdom"
55.74,Sarah Sjöström, Sweden,2 August 2015,World Championships,"Kazan, Russia"
55.64,Sarah Sjöström, Sweden,3 August 2015,World Championships,"Kazan, Russia"
55.48,Sarah Sjöström, Sweden,7 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
55.18,Gretchen Walsh, United States,15 June 2024,US Olympic Trials,"Indianapolis, United States"
55.09,Gretchen Walsh, United States,3 May 2025,Pro Swim Series,"Fort Lauderdale, United States"
54.60,Gretchen Walsh, United States,3 May 2025,Pro Swim Series,"Fort Lauderdale, United States"
