Time,Name,Nationality,Date,Meet,Location
26.54,Inge de Bruijn, Netherlands,18 Jun 1999,Netherlands Championships,"Amersfoort, Netherlands"
26.39,Anna-Karin Kammerling, Sweden,1 Jul 1999,Sweden Championships,"Halmstad, Sweden"
26.29,Anna-Karin Kammerling, Sweden,27 Jul 1999,European Championships,"Istanbul, Turkey"
25.83,Inge de Bruijn, Netherlands,20 May 2000,Mare Nostrum,"Monte Carlo, Monaco"
25.64,Inge de Bruijn, Netherlands,26 May 2000,Super Speedo Grand Prix,"Sheffield, United Kingdom"
25.57,Anna-Karin Kammerling, Sweden,30 Jul 2002,European Championships,"Berlin, Germany"
25.46,Therese Alshammar, Sweden,13 Jun 2007,Mare Nostrum,"Barcelona, Spain"
25.33,Marleen Veldhuis, Netherlands,19 April 2009,Swim Cup Amsterdam,"Amsterdam, Netherlands"
25.28,Marleen Veldhuis, Netherlands,31 July 2009,World Championships,"Rome, Italy"
25.07,Therese Alshammar, Sweden,31 July 2009,World Championships,"Rome, Italy"
24.43,Sarah Sjöström, Sweden,5 July 2014,Swedish Championships,"Borås, Sweden"
