Time,Name,Nationality,Date,Meet,Location
23.68,Denis Pankratov, Russia,10 Aug 1996,Meet of Champions,"Mulhouse, France"
23.60,Geoff Huegill, Australia,14 May 2000,Australia Championships,"Sydney, Australia"
23.44,Geoff Huegill, Australia,27 Jul 2001,World Championships,"Fukuoka, Japan"
23.43,Matt Welsh, Australia,21 Jul 2003,World Championships,"Barcelona, Spain"
23.30,Ian Crocker, United States,29 Feb 2004,Big 12 Time Trials,"Austin, United States"
23.01,Roland Schoeman, South Africa,24 Jul 2005,World Championships,"Montreal, Canada"
22.96,Roland Schoeman, South Africa,25 Jul 2005,World Championships,"Montreal, Canada"
22.43,Rafael Muñoz, Spain,5 April 2009,Spanish Championships,"Málaga, Spain"
22.27,Andriy Govorov, Ukraine,1 July 2018,Sette Colli Trophy,"Rome, Italy"
