Time,Name,Nationality,Date,Meet,Location
22:48.4,Henry Taylor, Great Britain,25 July 1908,Olympic Games,"London, United Kingdom"
22:00.0,George Hodgson, Canada,10 July 1912,Olympic Games,"Stockholm, Sweden"
21:35.3,Arne Borg, Sweden,8 July 1923,-,"Gothenburg, Sweden"
21:15.0,Arne Borg, Sweden,30 January 1924,-,"Sydney, Australia"
21:11.4,Arne Borg, Sweden,13 July 1924,-,"Paris, France"
20:06.6,Boy Charlton, Australia,15 July 1924,Olympic Games,"Paris, France"
20:04.4,Arne Borg, Sweden,18 August 1926,-,"Budapest, Hungary"
19:07.2,Arne Borg, Sweden,2 September 1927,European Championships,"Bologna, Italy"
18:58.8,Tomikatsu Amano, Japan,10 August 1938,-,"Tokyo, Japan"
18:35.7,Shiro Hashizume, Japan,16 August 1949,-,"Los Angeles, United States"
18:19.0,Hironoshin Furuhashi, Japan,16 August 1949,-,"Los Angeles, United States"
18:05.9,George Breen, United States,3 May 1956,-,"New Haven, United States"
17:59.5,Murray Rose, Australia,30 October 1956,-,"Melbourne, Australia"
17:52.9,George Breen, United States,5 December 1956,-,"Melbourne, Australia"
17:28.7,John Konrads, Australia,22 February 1958,-,"Melbourne, Australia"
17:11.0,John Konrads, Australia,27 February 1960,-,"Sydney, Australia"
17:05.5,Roy Saari, United States,17 August 1963,-,"Tokyo, Japan"
17:01.8,Murray Rose, Australia,2 August 1964,-,"Los Altos, United States"
16:58.7,Roy Saari, United States,2 September 1964,-,"New York City, United States"
16:58.6,Stephen Krause, United States,15 August 1965,-,"Maumee, United States"
16:41.6,Mike Burton, United States,21 August 1966,-,"Lincoln, United States"
16:34.1,Mike Burton, United States,13 August 1967,US National Championships,"Oak Park, United States"
16:28.1,Guillermo Echevarria, Mexico,7 July 1968,Santa Clara Invitational,"Santa Clara, United States"
16:08.6,Mike Burton, United States,3 September 1968,US Olympic Trials,"Long Beach, United States"
16:04.5,Mike Burton, United States,17 August 1969,US National Championships,"Louisville, United States"
15:57.10,John Kinsella, United States,23 August 1970,US National Championships,"Los Angeles, United States"
15:52.91,Rick DeMont, United States,6 August 1972,US Olympic Trials,"Chicago, United States"
15:52.58,Mike Burton, United States,4 September 1972,Olympic Games,"Munich, West Germany"
15:37.80,Stephen Holland, Australia,5 August 1973,Pre World Championship meet,"Brisbane, Australia"
15:31.85,Stephen Holland, Australia,8 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
15:31.75,Tim Shaw, United States,25 August 1974,US National Championships,"Concord, United States"
15:27.79,Stephen Holland, Australia,25 January 1975,New Zealand Games,"Christchurch, New Zealand"
15:20.91,Tim Shaw, United States,21 June 1975,US World Championship Trials,"Long Beach, United States"
15:10.89,Stephen Holland, Australia,27 February 1976,Australian Championships,"Sydney, Australia"
15:06.66,Brian Goodell, United States,21 June 1976,US Olympic Trials,"Long Beach, United States"
15:02.40,Brian Goodell, United States,20 July 1976,Olympic Games,"Montreal, Canada"
14:58.27,Vladimir Salnikov, Soviet Union,22 July 1980,Olympic Games,"Moscow, Soviet Union"
14:56.35,Vladimir Salnikov, Soviet Union,13 March 1982,Soviet Union vs East Germany Dual Meet,"Moscow, Soviet Union"
14:54.76,Vladimir Salnikov, Soviet Union,22 February 1983,Soviet Union Winter Championships,"Moscow, Soviet Union"
14:53.59,Glen Housman, Australia,13 December 1989,Australian Trials,"Adelaide, Australia"
14:50.36,Jörg Hoffmann, Germany,13 January 1991,World Championships,"Perth, Australia"
14:48.40,Kieren Perkins, Australia,5 April 1992,Australian Championships,"Canberra, Australia"
14:43.48,Kieren Perkins, Australia,31 July 1992,Olympic Games,"Barcelona, Spain"
14:41.66,Kieren Perkins, Australia,24 August 1994,Commonwealth Games,"Victoria, Canada"
14:34.56,Grant Hackett, Australia,29 July 2001,World Championships,"Fukuoka, Japan"
14:34.14,Sun Yang, China,31 July 2011,World Championships,"Shanghai, China"
14:31.02,Sun Yang, China,4 August 2012,Olympic Games,"London, United Kingdom"
14:30.67,Bobby Finke, United States,4 August 2024,Olympic Games,"Paris, France"
