Time,Name,Nationality,Date,Meet,Location
1:05.8,Zoltán Halmay, Hungary,3 December 1905,–,"Vienna, Austria"
1:05.6,Charles Daniels, United States,20 July 1908,Olympic Games,"London, United Kingdom"
1:02.8,Charles Daniels, United States,15 April 1910,Special record attempt by the New York AC,"New York City, United States"
1:02.4,Kurt Bretting, Germany,6 April 1912,–,"Brussels, Belgium"
1:01.6,Duke Kahanamoku, United States,20 July 1912,German Championships,"Hamburg, Germany"
1:01.4,Duke Kahanamoku, United States,9 August 1918,International exhibition,"New York City, United States"
1:00.4,Duke Kahanamoku, United States,24 August 1920,Olympic Games,"Antwerp, Belgium"
58.6,Johnny Weissmuller, United States,9 July 1922,–,"Alameda, United States"
57.4,Johnny Weissmuller, United States,17 February 1924,–,"Miami, United States"
56.8,Peter Fick, United States,2 March 1934,Yale University Swimming Carnival,"New Haven, United States"
56.6,Peter Fick, United States,5 March 1935,Yale University Swimming Carnival,"New Haven, United States"
56.4,Peter Fick, United States,11 February 1936,Yale Benefit Event for the US Olympic team,"New Haven, United States"
55.9,Alan Ford, United States,13 April 1944,Special record attempt,"New Haven, United States"
55.8,Alex Jany, France,15 September 1947,–,"Menton, France"
55.4,Alan Ford, United States,29 June 1948,New Haven Swim Club team time trial,"New Haven, United States"
54.8,Dick Cleveland, United States,1 April 1954,AAU Championships,"New Haven, United States"
55.4,Jon Henricks, Australia,30 November 1956,Olympic Games,"Melbourne, Australia"
55.2,John Devitt, Australia,19 January 1957,New South Wales State Championships,"Sydney, Australia"
54.6,John Devitt, Australia,28 January 1957,Queensland State Championships,"Brisbane, Australia"
54.4,Steve Clark, United States,18 August 1961,Men's NAAA Championships,"Los Angeles, United States"
53.6,Manuel dos Santos, Brazil,20 September 1961,Special record attempt by the CR Guanabara,"Rio de Janeiro, Brazil"
52.9,Alain Gottvallès, France,13 September 1964,–,"Budapest, Hungary"
52.9,Steve Clark, United States,14 October 1964,Olympic Games,"Tokyo, Japan"
52.6,Ken Walsh, United States,27 July 1967,Pan American Games,"Winnipeg, Canada"
52.6,Zac Zorn, United States,2 September 1968,US Olympic Trials (elec. 52.58),"Los Angeles, United States"
52.2,Michael Wenden, Australia,19 October 1968,Olympic Games,"Mexico City, Mexico"
51.94,Mark Spitz, United States,23 August 1970,AAU Championships,"Los Angeles, United States"
51.47,Mark Spitz, United States,5 August 1972,USA Olympic Trials,"Chicago, United States"
51.22,Mark Spitz, United States,3 September 1972,Olympic Games,"Munich, West Germany"
51.12,Jim Montgomery, United States,21 June 1975,AAU World Championship Trials,"Long Beach, United States"
51.11,Andy Coan, United States,3 August 1975,An Amateur Athletic Union Region Four meet,"Fort Lauderdale, United States"
50.59,Jim Montgomery, United States,23 August 1975,AAU Championships,"Kansas City, United States"
50.39,Jim Montgomery, United States,24 July 1976,Olympic Games,"Montreal, Canada"
49.99,Jim Montgomery, United States,25 July 1976,Olympic Games,"Montreal, Canada"
49.44,Jonty Skinner, South Africa,14 August 1976,AAU Championships,"Philadelphia, United States"
49.36,Rowdy Gaines, United States,3 April 1981,Longhorn Invitational,"Austin, United States"
49.24,Matt Biondi, United States,6 August 1985,USA Summer Nationals,"Mission Viejo, United States"
48.95,Matt Biondi, United States,6 August 1985,USA Summer Nationals,"Mission Viejo, United States"
48.74,Matt Biondi, United States,24 June 1986,US World Championships Trials,"Orlando, United States"
48.42,Matt Biondi, United States,10 August 1988,USA Olympic Trials,"Austin, United States"
48.21,Alexander Popov, Russia,18 June 1994,Mare Nostrum,"Monte-Carlo, Monaco"
48.18,Michael Klim, Australia,16 September 2000,Olympic Games,"Sydney, Australia"
47.84,Pieter van den Hoogenband, Netherlands,19 September 2000,Olympic Games,"Sydney, Australia"
47.60,Alain Bernard, France,21 March 2008,European Championships,"Eindhoven, Netherlands"
47.50,Alain Bernard, France,22 March 2008,European Championships,"Eindhoven, Netherlands"
47.24,Eamon Sullivan, Australia,11 August 2008,Olympic Games,"Beijing, China"
47.20,Alain Bernard, France,13 August 2008,Olympic Games,"Beijing, China"
47.05,Eamon Sullivan, Australia,13 August 2008,Olympic Games,"Beijing, China"
46.94,Alain Bernard, France,23 April 2009,French Championships,"Montpellier, France"
46.91,César Cielo, Brazil,30 July 2009,World Championships,"Rome, Italy"
46.86,David Popovici, Romania,13 August 2022,European Championships,"Rome, Italy"
46.80,Pan Zhanle, China,11 February 2024,World Championships,"Doha, Qatar"
46.40,Pan Zhanle, China,31 July 2024,Olympic Games,"Paris, France"
