Time,Name,Nationality,Date,Meet,Location
1:35.0,Martha Gerstung, Germany,18 October 1908,–,"Magdeburg, Germany"
1:26.6,Claire Guttenstein, Belgium,2 October 1910,–,"Schaerbeek, Belgium"
1:24.6,Daisy Curwen, Great Britain,29 September 1911,–,"Liverpool, United Kingdom"
1:20.6,Daisy Curwen, Great Britain,10 June 1912,–,"Birkenhead, United Kingdom"
1:19.8,Fanny Durack, Australia,9 July 1912,Olympic Games,"Stockholm, Sweden"
1:18.8,Fanny Durack, Australia,21 July 1912,German Championships,"Hamburg, Germany"
1:16.2,Fanny Durack, Australia,6 February 1915,NSW Ladies' Amateur Championships,"Sydney, Australia"
1:14.4,Ethelda Bleibtrey, United States,23 August 1920,Olympic Games,"Antwerp, Belgium"
1:13.6,Ethelda Bleibtrey, United States,25 August 1920,Olympic Games,"Antwerp, Belgium"
1:12.8,Gertrude Ederle, United States,30 June 1923,–,"Newark, United States"
1:12.2,Mariechen Wehselau, United States,19 July 1924,Olympic Games,"Paris, France"
1:10.0,Ethel Lackie, United States,28 January 1926,–,"Toledo, United States"
1:09.8,Eleanor Garatti, United States,7 August 1929,US National Women's Championships,"Honolulu, Hawaii"
1:09.4,Albina Osipowich, United States,25 August 1929,–,"San Francisco, United States"
1:08.0,Helene Madison, United States,14 March 1930,US National Championships,"Miami Beach, United States"
1:06.6,Helene Madison, United States,20 April 1931,–,"Boston, United States"
1:06.0,Willy den Ouden, Netherlands,9 July 1933,–,"Antwerp, Belgium"
1:05.4,Willy den Ouden, Netherlands,24 February 1934,–,"Amsterdam, Netherlands"
1:04.8,Willy den Ouden, Netherlands,15 April 1934,–,"Rotterdam, Netherlands"
1:04.6,Willy den Ouden, Netherlands,27 February 1936,–,"Amsterdam, Netherlands"
1:04.5,Dawn Fraser, Australia,21 February 1956,Australian Championships,"Sydney, Australia"
1:04.2,Cocky Gastelaars, Netherlands,3 March 1956,–,"Amsterdam, Netherlands"
1:04.0,Cocky Gastelaars, Netherlands,14 April 1956,–,"Schiedam, Netherlands"
1:03.3,Dawn Fraser, Australia,25 August 1956,Australian Olympic Squad Swimming Carnival,"Townsville, Australia"
1:03.2,Lorraine Crapp, Australia,20 October 1956,Australian Olympic Squad Swimming Carnival,"Sydney, Australia"
1:02.4,Lorraine Crapp, Australia,25 October 1956,Australian Trials,"Melbourne, Australia"
1:02.0,Dawn Fraser, Australia,1 December 1956,Olympic Games,"Melbourne, Australia"
1:01.5,Dawn Fraser, Australia,18 February 1958,Australian Championships,"Melbourne, Australia"
1:01.4,Dawn Fraser, Australia,21 July 1958,British Empire & Commonwealth Games,"Cardiff, United Kingdom"
1:01.2,Dawn Fraser, Australia,10 August 1958,–,"Schiedam, Netherlands"
1:00.2,Dawn Fraser, Australia,23 February 1960,Australian Championships,"Sydney, Australia"
1:00.0,Dawn Fraser, Australia,23 October 1962,Australian Trials,"Melbourne, Australia"
59.9,Dawn Fraser, Australia,27 October 1962,Australian Trials,"Melbourne, Australia"
59.5,Dawn Fraser, Australia,24 October 1962,British Empire & Commonwealth Games,"Perth, Australia"
58.9,Dawn Fraser, Australia,29 February 1964,Australian Championships,"Sydney, Australia"
58.9,Shane Gould, Australia,30 April 1971,Coca-Cola International,"London, United Kingdom"
58.5,Shane Gould, Australia,8 January 1972,NSW Championships,"Sydney, Australia"
58.25,Kornelia Ender, East Germany,13 July 1973,East German Championships,"East Berlin, East Germany"
58.12,Kornelia Ender, East Germany,18 August 1973,–,"Utrecht, Netherlands"
57.61,Kornelia Ender, East Germany,8 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
57.54,Kornelia Ender, East Germany,9 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
57.51,Kornelia Ender, East Germany,4 July 1974,East German Championships,"Rostock, East Germany"
56.96,Kornelia Ender, East Germany,19 August 1974,European Championships,"Vienna, Austria"
56.38,Kornelia Ender, East Germany,14 March 1975,GDRvURS Duel,"Dresden, East Germany"
56.22,Kornelia Ender, East Germany,26 July 1975,World Championships,"Cali, Colombia"
55.73,Kornelia Ender, East Germany,1 June 1976,East German Championships,"East Berlin, East Germany"
55.65,Kornelia Ender, East Germany,19 July 1976,Olympic Games,"Montréal, Canada"
55.41,Barbara Krause, East Germany,5 July 1978,East German Championships,"East Berlin, East Germany"
54.98,Barbara Krause, East Germany,20 July 1980,Olympic Games,"Moscow, Soviet Union"
54.79,Barbara Krause, East Germany,21 July 1980,Olympic Games,"Moscow, Soviet Union"
54.73,Kristin Otto, East Germany,19 August 1986,World Championships,"Madrid, Spain"
54.48,Jenny Thompson, United States,1 March 1992,US Olympic Trials,"Indianapolis, United States"
54.01,Jingyi Le, China,5 September 1994,World Championships,"Rome, Italy"
53.80,Inge de Bruijn, Netherlands,28 May 2000,Super Speedo Grand Prix,"Sheffield, United Kingdom"
53.77,Inge de Bruijn, Netherlands,20 September 2000,Olympic Games,"Sydney, Australia"
53.66,Libby Lenton, Australia,31 March 2004,Australian Championships,"Sydney, Australia"
53.52,Jodie Henry, Australia,18 August 2004,Olympic Games,"Athens, Greece"
53.42,Libby Lenton, Australia,31 January 2006,Australian Championships,"Melbourne, Australia"
53.30,Britta Steffen, Germany,2 August 2006,European Championships,"Budapest, Hungary"
52.88,Libby Trickett, Australia,27 March 2008,Australian Championships,"Sydney, Australia"
52.85,Britta Steffen, Germany,25 June 2009,German Championships,"Berlin, Germany"
52.56,Britta Steffen, Germany,27 June 2009,German Championships,"Berlin, Germany"
52.22,Britta Steffen, Germany,26 July 2009,World Championships,"Rome, Italy"
52.07,Britta Steffen, Germany,31 July 2009,World Championships,"Rome, Italy"
52.06,Cate Campbell, Australia,2 July 2016,Swimming Australia Grand Prix,"Brisbane, Australia"
51.71,Sarah Sjöström, Sweden,23 July 2017,World Championships,"Budapest, Hungary"
