Time,Name,Nationality,Date,Meet,Location
2:19.0,Mike Troy, United States,11 July 1959,-,"Los Altos, United States"
2:16.4,Mike Troy, United States,11 July 1959,-,"Los Altos, United States"
2:15.0,Mike Troy, United States,10 July 1960,-,"Evansville, United States"
2:13.4,Mike Troy, United States,23 July 1960,-,"Toledo, United States"
2:13.2,Mike Troy, United States,4 August 1960,US Olympic Trials,"Detroit, United States"
2:12.8,Mike Troy, United States,2 September 1960,Olympic Games,"Rome, Italy"
2:12.6,Carl Robie, United States,19 August 1961,Men’s NAAA Championships,"Los Angeles, United States"
2:12.5,Kevin Berry, Australia,20 February 1962,-,"Melbourne, Australia"
2:12.4,Carl Robie, United States,11 August 1962,Men’s National Outdoor Championships,"Cuyahoga Falls, United States"
2:10.8,Carl Robie, United States,11 August 1962,Men’s National Outdoor Championships,"Cuyahoga Falls, United States"
2:09.7,Kevin Berry, Australia,23 October 1962,Australian Trials,"Melbourne, Australia"
2:08.4,Kevin Berry, Australia,12 January 1963,-,"Sydney, Australia"
2:08.2,Carl Robie, United States,18 March 1963,-,"Tokyo, Japan"
2:06.9,Kevin Berry, Australia,29 March 1964,-,"Sydney, Australia"
2:06.6,Kevin Berry, Australia,18 October 1964,Olympic Games,"Tokyo, Japan"
2:06.4,Mark Spitz, United States,26 July 1967,Pan American Games,"Winnipeg, Canada"
2:06.0,John Ferris, United States,30 August 1967,Summer Universiade,"Tokyo, Japan"
2:05.7,Mark Spitz, United States,8 October 1967,-,"West Berlin, West Germany"
2:05.4,Mark Spitz, United States,22 August 1970,AAU Nationals,"Los Angeles, United States"
2:05.0,Gary Hall Sr., United States,22 August 1970,AAU Nationals,"Los Angeles, United States"
2:03.9,Mark Spitz, United States,27 August 1971,AAU Nationals,"Houston, United States"
2:03.3,Hans-Joachim Fassnacht, West Germany,31 August 1971,-,"Landskrona, Sweden"
2:01.87,Mark Spitz, United States,2 August 1972,US Olympic Trials,"Chicago, United States"
2:01.53,Mark Spitz, United States,2 August 1972,US Olympic Trials,"Chicago, United States"
2:00.70,Mark Spitz, United States,28 August 1972,Olympic Games,"Munich, West Germany"
2:00.21,Roger Pyttel, East Germany,3 June 1976,East German Championships,"East Berlin, East Germany"
1:59.63,Roger Pyttel, East Germany,3 June 1976,East German Championships,"East Berlin, East Germany"
1:59.23,Mike Bruner, United States,18 July 1976,Olympic Games,"Montreal, Canada"
1:58.21,Craig Beardsley, United States,30 July 1980,-,"Irvine, United States"
1:58.01,Craig Beardsley, United States,22 August 1981,-,"Kyiv, Soviet Union"
1:57.05,Michael Gross, West Germany,26 August 1983,European Championships,"Rome, Italy"
1:57.04,Jon Sieben, Australia,3 August 1984,Olympic Games,"Los Angeles, United States"
1:57.01,Michael Gross, West Germany,29 June 1985,West German Championships,"Wuppertal, West Germany"
1:56.65,Michael Gross, West Germany,10 August 1985,European Championships,"Sofia, Bulgaria"
1:56.24,Michael Gross, West Germany,28 June 1986,West German Championships,"Hanover, West Germany"
1:55.69,Melvin Stewart, United States,12 January 1991,World Championships,"Perth, Australia"
1:55.22,Denis Pankratov, Russia,14 June 1995,Mare Nostrum,"Canet-en-Roussillon, France"
1:55.18,Tom Malchow, United States,17 June 2000,Charlotte UltraSwim,"Charlotte, United States"
1:54.92,Michael Phelps, United States,30 March 2001,US National Championships,"Austin, United States"
1:54.58,Michael Phelps, United States,24 July 2001,World Championships,"Fukuoka, Japan"
1:53.93,Michael Phelps, United States,22 July 2003,World Championships,"Barcelona, Spain"
1:53.80,Michael Phelps, United States,17 August 2006,Pan Pacific Championships,"Victoria, Canada"
1:53.71,Michael Phelps, United States,17 February 2007,US Grand Prix,"Columbia, United States"
1:52.09,Michael Phelps, United States,28 March 2007,World Championships,"Melbourne, Australia"
1:52.03,Michael Phelps, United States,13 August 2008,Olympic Games,"Beijing, China"
1:51.51,Michael Phelps, United States,29 July 2009,World Championships,"Rome, Italy"
1:50.73,Kristóf Milák, Hungary,24 July 2019,World Championships,"Gwangju, South Korea"
1:50.34,Kristóf Milák, Hungary,21 June 2022,World Championships,"Budapest, Hungary"
