Time,Name,Nationality,Date,Meet,Location
27.61,Alexander Dzhaburiya, Ukraine,27 April 1996,Ukraine Olympic Trials,"Kharkiv, Ukraine"
27.49,Anthony Robinson, United States,29 March 2001,USA Nationals & World Championship Trials,"Austin, United States"
27.39,Ed Moses, United States,31 March 2001,USA Nationals & World Championship Trials,"Austin, United States"
27.18,Oleg Lisogor, Ukraine,2 August 2002,European Championships,"Berlin, Germany"
27.06,Cameron van der Burgh, South Africa,18 April 2009,South African Championships,"Durban, South Africa"
26.89,Felipe França, Brazil,8 May 2009,Brazil Championships (Maria Lenk),"Rio de Janeiro, Brazil"
26.74,Cameron van der Burgh, South Africa,28 July 2009,World Aquatics Championships,"Rome, Italy"
26.67,Cameron van der Burgh, South Africa,29 July 2009,World Aquatics Championships,"Rome, Italy"
26.62,Adam Peaty, Great Britain,18 August 2014,European Championships,"Berlin, Germany"
26.62,Cameron van der Burgh, South Africa,4 August 2015,World Championships,"Kazan, Russia"
26.42,Adam Peaty, Great Britain,4 August 2015,World Championships,"Kazan, Russia"
26.10,Adam Peaty, Great Britain,25 July 2017,World Championships,"Budapest, Hungary"
25.95,Adam Peaty, Great Britain,25 July 2017,World Championships,"Budapest, Hungary"
