Time,Name,Nationality,Date,Meet,Location
30.95,Penelope Heyns, South Africa,1 Aug 1998,Goodwill Games,"New York, NY, United States"
30.83,Penelope Heyns, South Africa,29 Aug 1999,Pan Pacific Championships,"Sydney, Australia"
30.57,Zoë Baker, Great Britain,30 Jul 2002,Commonwealth Games,"Manchester, United Kingdom"
30.45,Jade Edmistone, Australia,31 Jul 2005,World Championships,"Montreal, Canada"
30.31,Jade Edmistone, Australia,30 Jan 2006,Australian Championships,"Melbourne, Australia"
30.23,Amanda Reason, Canada,8 Jul 2009,Canadian Trials,"Montreal, Canada"
30.09,Yuliya Yefimova, Russia,2 Aug 2009,World Championships,"Rome, Italy"
29.95,Jessica Hardy, United States,6 Aug 2009,US Open,"Federal Way, United States"
29.80,Jessica Hardy, United States,7 Aug 2009,US Open,"Federal Way, United States"
29.78,Yuliya Yefimova, Russia,3 Aug 2013,World Championships,"Barcelona, Spain"
29.48,Rūta Meilutytė, Lithuania,3 Aug 2013,World Championships,"Barcelona, Spain"
29.40,Lilly King, United States,30 Jul 2017,World Championships,"Budapest, Hungary"
29.30,Benedetta Pilato, Italy,22 May 2021,European Championships,"Budapest, Hungary"
29.30,Rūta Meilutytė, Lithuania,29 July 2023,World Championships,"Fukuoka, Japan"
29.16,Rūta Meilutytė, Lithuania,30 July 2023,World Championships,"Fukuoka, Japan"
