Time,Name,Nationality,Date,Meet,Location
1:02.2,David Theile, Australia,6 December 1956,Olympic Games,"Melbourne, Australia"
1:01.5,John Monckton, Australia,15 February 1958,Australian Championships,"Perth, Australia"
1:01.3,Bob Bennett, United States,19 August 1961,Men’s NAAA Championships,"Los Angeles, United States"
1:01.0,Tom Stock, United States,11 August 1962,-,"Cuyahoga Falls, United States"
1:00.9,Tom Stock, United States,12 August 1962,-,"Cuyahoga Falls, United States"
1:00.8,Ernst-Joachim Küppers, West Germany,28 August 1964,-,"Dortmund, West Germany"
1:00.0,Thompson Mann, United States,3 September 1964,-,"New York City, United States"
59.6,Thompson Mann, United States,16 October 1964,Olympic Games,"Tokyo, Japan"
59.5,Doug Russell, United States,28 August 1967,Summer Universiade,"Tokyo, Japan"
59.3,Charlie Hickcox, United States,28 August 1967,Summer Universiade,"Tokyo, Japan"
59.1,Charlie Hickcox, United States,31 August 1967,Summer Universiade,"Tokyo, Japan"
58.4,Roland Matthes, East Germany,21 September 1967,-,"Leipzig, East Germany"
58.0,Roland Matthes, East Germany,26 October 1968,Olympic Games,"Mexico City, Mexico"
57.8,Roland Matthes, East Germany,23 August 1969,-,"Würzburg, West Germany"
56.9,Roland Matthes, East Germany,8 September 1970,European Championships,"Barcelona, Spain"
56.7,Roland Matthes, East Germany,4 September 1971,-,"Leipzig, East Germany"
56.3,Roland Matthes, East Germany,8 April 1972,-,"Moscow, Soviet Union"
56.30,Roland Matthes, East Germany,4 September 1972,Olympic Games,"Munich, West Germany"
56.19,John Naber, United States,18 July 1976,Olympic Games,"Montreal, Canada"
55.49,John Naber, United States,19 July 1976,Olympic Games,"Montreal, Canada"
55.44,Rick Carey, United States,6 August 1983,US National Championships,"Clovis, United States"
55.38,Rick Carey, United States,6 August 1983,US National Championships,"Clovis, United States"
55.19,Rick Carey, United States,21 August 1983,Pan American Games,"Caracas, Venezuela"
55.17,Igor Polyansky, Soviet Union,15 March 1988,-,"Tallinn, Soviet Union"
55.16,Igor Polyansky, Soviet Union,16 March 1988,-,"Tallinn, Soviet Union"
55.00,Igor Polyansky, Soviet Union,16 July 1988,Soviet Union Championships,"Moscow, Soviet Union"
54.95,David Berkoff, United States,12 August 1988,US Olympic Trials,"Austin, United States"
54.91,David Berkoff, United States,12 August 1988,US Olympic Trials,"Austin, United States"
54.51,David Berkoff, United States,16 September 1988,Olympic Games,"Seoul, South Korea"
53.93,Jeff Rouse, United States,25 August 1991,Pan Pacific Championships,"Edmonton, Canada"
53.86,Jeff Rouse, United States,31 July 1992,Olympic Games,"Barcelona, Spain"
53.60,Lenny Krayzelburg, United States,24 August 1999,Pan Pacific Championships,"Sydney, Australia"
53.45,Aaron Peirsol, United States,21 August 2004,Olympic Games,"Athens, Greece"
53.17,Aaron Peirsol, United States,2 April 2005,US World Championships Trials,"Indianapolis, United States"
52.98,Aaron Peirsol, United States,27 March 2007,World Championships,"Melbourne, Australia"
52.89,Aaron Peirsol, United States,1 July 2008,US Olympic Trials,"Omaha, United States"
52.54,Aaron Peirsol, United States,12 August 2008,Olympic Games,"Beijing, China"
52.38,Aschwin Wildeboer, Spain,1 July 2009,Mediterranean Games,"Pescara, Italy"
51.94,Aaron Peirsol, United States,8 July 2009,US National Championships,"Indianapolis, United States"
51.85,Ryan Murphy, United States,13 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
51.60,Thomas Ceccon, Italy,20 June 2022,World Championships,"Budapest, Hungary"
