Time,Name,Nationality,Date,Meet,Location
2:28.6,Frederick Lane, Australia,18 August 1902,-,"Weston-super-Mare, United Kingdom"
2:26.8,Zoltan Halmay, Hungary,28 June 1908,-,"Budapest, Hungary"
2:31.6,Otto Scheff, Austria,11 November 1908,-,"Vienna, Austria"
2:30.0,Frank Beaurepaire, Australia,9 September 1910,-,"Exeter, United Kingdom"
2:25.4,Charles Daniels, United States,28 March 1911,-,"Pittsburgh, United States"
2:21.6,Norman Ross, United States,24 November 1916,-,"San Francisco, United States"
2:19.8,Tedford Cann, United States,10 April 1920,-,"Detroit, United States"
2:15.6,Johnny Weissmuller, United States,26 May 1922,-,"Honolulu, United States"
2:15.2,Johnny Weissmuller, United States,9 December 1925,-,"McKeesport, United States"
2:08.0,Johnny Weissmuller, United States,5 April 1927,-,"Ann Arbor, United States"
2:07.2,Jack Medica, United States,12 April 1935,-,"Chicago, United States"
2:06.2,Bill Smith, United States,12 February 1944,-,"Columbus, United States"
2:05.4,Alex Jany, France,20 September 1946,-,"Marseille, France"
2:04.6,John Marshall, Australia,31 March 1950,Yale (?),"New Haven, United States"
2:03.9,Ford Konno, United States,27 February 1954,-,"Columbus, Australia"
2:03.4,Jack Wardrop, Great Britain,4 March 1955,-,"Columbus, United States"
2:01.5,Dick Hanley, United States,8 March 1957,-,"Minneapolis, United States"
2:04.8,John Konrads, Australia,8 January 1958,-,"Sydney, Australia"
2:03.2,John Konrads, Australia,5 May 1958,-,"Sydney, Australia"
2:03.0,Tsuyoshi Yamanaka, Japan,22 August 1958,-,"Osaka, Japan"
2:02.2,John Konrads, Australia,16 January 1959,-,"Sydney, Australia"
2:01.5,Tsuyoshi Yamanaka, Japan,26 July 1959,-,"Osaka, Japan"
2:01.2,Tsuyoshi Yamanaka, Japan,24 June 1961,-,"Osaka, Japan"
2:01.1,Tsuyoshi Yamanaka, Japan,6 August 1961,-,"Tokyo, Japan"
2:00.4,Tsuyoshi Yamanaka, Japan,20 August 1961,Men’s National Outdoor Championships,"Los Angeles, United States"
2:00.4,Don Schollander, United States,11 August 1962,Men’s National Outdoor Championships,"Cuyahoga Falls, United States"
2:00.3,Bob Windle, Australia,21 April 1963,-,"tokyo, Japan"
1:58.8,Don Schollander, United States,27 July 1963,5th Annual Los Angeles Invitiational,"Los Angeles, United States"
1:58.5,Don Schollander, United States,17 August 1963,6th US-Japan swimming and diving meet,"Tokyo, Japan"
1:58.4,Don Schollander, United States,24 August 1963,-,"Osaka, Japan"
1:58.2,Hans-Joachim Klein, West Germany,24 May 1964,-,"Dortmund, West Germany"
1:57.6,Don Schollander, United States,1 August 1964,US National Championships,"Los Altos, United States"
1:57.2,Don Schollander, United States,29 July 1966,-,"Los Angeles, United States"
1:56.2,Don Schollander, United States,19 August 1966,-,"Lincoln, United States"
1:56.0,Don Schollander, United States,29 July 1967,Pan American Games,"Winnipeg, Canada"
1:55.7,Don Schollander, United States,12 August 1967,AAU National Outdoor Championships,"Oak Park, United States"
1:54.8,Don Schollander, United States,30 August 1968,US Olympic Trials,"Long Beach, United States"
1:54.3,Don Schollander, United States,30 August 1968,US Olympic Trials,"Long Beach, United States"
1:54.3,Mark Spitz, United States,12 July 1969,Santa Clara Invitational,"Santa Clara, United States"
1:54.2,Mark Spitz, United States,4 September 1971,USA vs. GDR Dual Meet,"Leipzig, East Germany"
1:53.5,Mark Spitz, United States,10 September 1971,USA vs. USSR vs. GBR Meet,"Minsk, Soviet Union"
1:52.78,Mark Spitz, United States,29 August 1972,Olympic Games,"Munich, West Germany"
1:51.66,Tim Shaw, United States,23 August 1974,AAU National Outdoor Championships,"Concord, United States"
1:51.41,Bruce Furniss, United States,18 June 1975,US World Championship Trials,"Long Beach, United States"
1:50.89,Bruce Furniss, United States,18 June 1975,US World Championship Trials,"Long Beach, United States"
1:50.32,Bruce Furniss, United States,21 August 1975,AAU National Outdoor Championships,"Kansas City, United States"
1:50.29,Bruce Furniss, United States,19 July 1976,Olympic Games,"Montreal, Canada"
1:49.83,Sergey Kopliakov, Soviet Union,7 April 1979,USSR Vs. GDR Junior Meet,"Potsdam, East Germany"
1:49.16,Rowdy Gaines, United States,11 April 1980,AAU National Indoor Championships,"Austin, United States"
1:48.93,Rowdy Gaines, United States,19 July 1982,US World Championship Trials,"Mission Viejo, United States"
1:48.28,Michael Gross, West Germany,22 June 1983,FRG Nationals,"Hanover, West Germany"
1:47.87,Michael Gross, West Germany,22 August 1983,European Championships,"Rome, Italy"
1:47.55,Michael Gross, West Germany,8 June 1984,FRG Nationals,"Munich, West Germany"
1:47.44,Michael Gross, West Germany,29 July 1984,Olympic Games,"Los Angeles, United States"
1:47.25,Duncan Armstrong, Australia,19 September 1988,Olympic Games,"Seoul, South Korea"
1:46.69,Giorgio Lamberti, Italy,15 August 1989,European Championships,"Bonn, West Germany"
1:46.67,Grant Hackett, Australia,23 March 1999,Australian Championships,"Brisbane, Australia"
1:46.34,Ian Thorpe, Australia,23 August 1999,Pan Pacific Championships,"Sydney, Australia"
1:46.00,Ian Thorpe, Australia,24 August 1999,Pan Pacific Championships,"Sydney, Australia"
1:45.69,Ian Thorpe, Australia,14 May 2000,Australian Championships,"Sydney, Australia"
1:45.51,Ian Thorpe, Australia,15 May 2000,Australian Championships,"Sydney, Australia"
1:45.35,Pieter van den Hoogenband, Netherlands,17 September 2000,Olympic Games,"Sydney, Australia"
1:45.35,Pieter van den Hoogenband, Netherlands,18 September 2000,Olympic Games,"Sydney, Australia"
1:44.69,Ian Thorpe, Australia,27 March 2001,Australian Championships,"Hobart, Australia"
1:44.06,Ian Thorpe, Australia,25 July 2001,World Championships,"Fukuoka, Japan"
1:43.86,Michael Phelps, United States,27 March 2007,World Championships,"Melbourne, Australia"
1:42.96,Michael Phelps, United States,12 August 2008,Olympic Games,"Beijing, China"
1:42.00,Paul Biedermann, Germany,25 July 2009,World Championships,"Rome, Italy"
