Time,Name,Nationality,Date,Meet,Location
5:15.6,Gary Heinrich, United States,27 August 1957,-,"Philadelphia, United States"
5:12.9,Vladimir Strushanov, Soviet Union,20 October 1957,-,"Moscow, Soviet Union"
5:08.8,Ian Black, Great Britain,6 June 1959,-,"Cardiff, United Kingdom"
5:07.8,George Harrison, United States,24 June 1960,-,"Los Angeles, United States"
5:05.3,George Harrison, United States,24 June 1960,-,"Los Angeles, United States"
5:04.5,Dennis Rounsaville, United States,22 July 1960,-,"Toledo, United States"
5:04.3,Ted Stickles, United States,1 July 1961,-,"Chicago, United States"
4:55.6,Ted Stickles, United States,18 August 1961,-,"Los Angeles, United States"
4:53.8,Gerhard Hetz, West Germany,24 May 1962,-,"Moscow, Soviet Union"
4:51.4,Ted Stickles, United States,30 June 1962,-,"Chicago, United States"
4:51.0,Ted Stickles, United States,12 July 1962,-,"Louisville, United States"
4:50.2,Gerhard Hetz, West Germany,12 October 1963,-,"Tokyo, Japan"
4:48.6,Dick Roth, United States,31 July 1964,-,"Los Altos, United States"
4:45.4,Dick Roth, United States,14 October 1964,Olympic Games,"Tokyo, Japan"
4:45.3,Andrey Dunayev, Soviet Union,3 April 1968,-,"Tallinn, Soviet Union"
4:45.1,Greg Buckingham, United States,6 July 1968,Santa Clara Invitational,"Santa Clara, United States"
4:43.4,Gary Hall Sr., United States,20 July 1968,-,"Los Angeles, United States"
4:43.3,Charlie Hickcox, United States,30 August 1968,US Olympic Trials,"Long Beach, United States"
4:39.0,Charlie Hickcox, United States,30 August 1968,US Olympic Trials,"Long Beach, United States"
4:38.7,Gary Hall Sr., United States,11 July 1969,Santa Clara Invitational,"Santa Clara, United States"
4:33.9,Gary Hall Sr., United States,15 August 1969,AAU Nationals,"Louisville, United States"
4:31.0,Gary Hall Sr., United States,21 August 1970,AAU Nationals,"Los Angeles, United States"
4:30.81,Gary Hall Sr., United States,3 August 1972,US Olympic Trials,"Chicago, United States"
4:28.89,András Hargitay, Hungary,20 August 1974,European Championships,"Vienna, Austria"
4:26.00,Zoltán Verrasztó, Hungary,2 April 1976,AAU Indoor Championships,"Long Beach, United States"
4:23.68,Rod Strachan, United States,25 July 1976,Olympic Games,"Montreal, Canada"
4:23.39,Jesse Vassallo, United States,4 August 1978,AAU Championships,"The Woodlands, United States"
4:20.05,Jesse Vassallo, United States,28 August 1978,World Championships,"West Berlin, West Germany"
4:19.78,Ricardo Prado, Brazil,8 August 1982,World Championships,"Guayaquil, Ecuador"
4:19.61,Jens-Peter Berndt, East Germany,23 May 1984,East German Championships,"Magdeburg, East Germany"
4:17.53,Alex Baumann, Canada,17 June 1984,Canadian Olympic Trials,"Etobicoke, Canada"
4:17.41,Alex Baumann, Canada,30 July 1984,Olympic Games,"Los Angeles, United States"
4:16.12,David Wharton, United States,14 August 1987,Pan Pacific Championships,"Brisbane, Australia"
4:15.42,Tamás Darnyi, Hungary,19 August 1987,European Championships,"Strasbourg, France"
4:14.75,Tamás Darnyi, Hungary,21 September 1988,Olympic Games,"Seoul, South Korea"
4:12.36,Tamás Darnyi, Hungary,8 January 1991,World Championships,"Perth, Australia"
4:12.30,Tom Dolan, United States,11 September 1994,World Championships,"Rome, Italy"
4:11.76,Tom Dolan, United States,17 September 2000,Olympic Games,"Sydney, Australia"
4:11.09,Michael Phelps, United States,15 August 2002,US National Championships,"Fort Lauderdale, United States"
4:10.73,Michael Phelps, United States,7 April 2003,Duel in the Pool,"Indianapolis, United States"
4:09.09,Michael Phelps, United States,27 July 2003,World Championships,"Barcelona, Spain"
4:08.41,Michael Phelps, United States,7 July 2004,US Olympic Trials,"Long Beach, United States"
4:08.26,Michael Phelps, United States,14 August 2004,Olympic Games,"Athens, Greece"
4:06.22,Michael Phelps, United States,1 April 2007,World Championships,"Melbourne, Australia"
4:05.25,Michael Phelps, United States,29 June 2008,US Olympic Trials,"Omaha, United States"
4:03.84,Michael Phelps, United States,10 August 2008,Olympic Games,"Beijing, China"
4:02.50,Léon Marchand, France,23 July 2023,World Championships,"Fukuoka, Japan"
