Time,Name,Nationality,Date,Meet,Location
5:36.8,Henry Taylor, Great Britain,16 July 1908,Olympic Games,"London, United Kingdom"
5:35.8,Sydney Battersby, Great Britain,11 September 1911,Local Meet (Kentish Town),"London, United Kingdom"
5:29.0,Alajos Kenyery, Hungary,21 April 1912,-,"Magdeburg, Germany"
5:28.4,Alajos Kenyery, Hungary,5 June 1912,-,"Budapest, Hungary"
5:24.4,George Hodgson, Canada,14 July 1912,Olympic Games,"Stockholm, Sweden"
5:21.6,Jack Hatfield, Great Britain,26 September 1912,Local Meet (Shoreditch),"London, United Kingdom"
5:14.6,Norman Ross, United States,9 October 1919,-,"Los Angeles, United States"
5:14.4,Norman Ross, United States,25 September 1921,-,"Brighton Beach, United States"
5:11.8,Arne Borg, Sweden,9 April 1922,Local Meet,"Stockholm, Sweden"
5:06.6,Johnny Weissmuller, United States,22 June 1922,-,"Honolulu, United States"
4:57.0,Johnny Weissmuller, United States,6 March 1923,-,"New Haven, United States"
4:54.7,Arne Borg, Sweden,9 December 1924,Local Meet,"Stockholm, Sweden"
4:50.3,Arne Borg, Sweden,11 September 1925,Local Meet,"Stockholm, Sweden"
4:47.0,Jean Taris, France,16 April 1931,Local Meet,"Paris, France"
4:46.4,Shozo Makino, Japan,14 August 1933,-,"Tokyo, Japan"
4:38.7,Jack Medica, United States,30 August 1934,-,"Honolulu, United States"
4:38.5,Bill Smith, United States,13 May 1941,-,"Honolulu, United States"
4:35.2,Alex Jany, France,12 September 1947,European Championships,"Monte Carlo, Monaco"
4:34.6,Hironoshin Furuhashi, Japan,24 July 1949,Local Meet,"Tokyo, Japan"
4:33.3,Hironoshin Furuhashi, Japan,18 August 1949,US National Championships,"Los Angeles, United States"
4:33.1,John Marshall, Australia,11 March 1950,Intercollegiate Event,"New Haven, United States"
4:29.5,John Marshall, Australia,1 April 1950,US National Indoor Championships,"New Haven, United States"
4:26.9,John Marshall, Australia,24 March 1951,Sanctioned Time Trial,"New Haven, United States"
4:26.7,Ford Konno, United States,3 April 1954,Intercollegiate Event,"New Haven, United States"
4:25.9,Murray Rose, Australia,12 January 1957,NSW Championships,"Sydney, Australia"
4:27.0,Murray Rose, Australia,27 October 1956,Australian Championships,"Melbourne, Australia"
4:25.9,John Konrads, Australia,15 January 1958,NSW Championships,"Sydney, Australia"
4:21.8,John Konrads, Australia,12 January 1959,Australian Championships,"Melbourne, Australia"
4:19.0,John Konrads, Australia,7 February 1959,International Swim Meet,"Sydney, Australia"
4:16.6,Tsuyoshi Yamanaka, Japan,26 July 1959,Japan-USA Water Competition,"Osaka, Japan"
4:15.9,John Konrads, Australia,23 February 1960,Australian Championships,"Sydney, Australia"
4:13.4,Murray Rose, Australia,17 August 1962,International Invitational,"Chicago, United States"
4:12.7,Don Schollander, United States,31 July 1964,US National Championships,"Los Altos, United States"
4:12.2,Don Schollander, United States,15 October 1964,Olympic Games,"Tokyo, Japan"
4:11.8,John Nelson, United States,18 August 1966,US National Championships,"Lincoln, United States"
4:11.6,Don Schollander, United States,18 August 1966,US National Championships,"Lincoln, United States"
4:11.1,Frank Wiegand, East Germany,25 August 1966,European Championships,"Utrecht, Netherlands"
4:10.6,Mark Spitz, United States,25 June 1967,Local Event,"Haywood, United States"
4:10.6,Alain Mosconi, France,2 July 1967,Local Event,"Monte Carlo, Monaco"
4:09.2,Alain Mosconi, France,4 July 1967,Local Event,"Monte Carlo, Monaco"
4:08.8,Mark Spitz, United States,7 July 1967,Santa Clara International,"Santa Clara, United States"
4:08.2,Greg Charlton, United States,28 August 1967,Summer Universiade,"Tokyo, Japan"
4:07.7,Mark Spitz, United States,23 June 1968,Annual Swimming Relays,"Haywood, United States"
4:06.5,Ralph Hutton, Canada,1 August 1968,US National Championships,"Lincoln, United States"
4:04.0,Hans-Joachim Fassnacht, West Germany,14 August 1969,US National Championships,"Louisville, United States"
4:02.8,John Kinsella, United States,20 August 1970,US National Championships,"Los Angeles, United States"
4:02.6,Gunnar Larsson, United States,7 September 1970,European Championships,"Barcelona, Spain"
4:02.1,Tom McBreen, United States,25 August 1971,US National Championships,"Houston, United States"
4:01.7,Brad Cooper, Australia,12 February 1972,Australian Championships,"Brisbane, Australia"
4:00.11,Kurt Krumpholz, United States,4 August 1972,US Olympic Trials,"Chicago, United States"
3:58.18,Rick DeMont, United States,9 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
3:56.96,Tim Shaw, United States,22 August 1974,US National Championships,"Concord, United States"
3:54.69,Tim Shaw, United States,22 August 1974,US National Championships,"Concord, United States"
3:53.95,Tim Shaw, United States,19 June 1975,US World Championship Trials,"Long Beach, United States"
3:53.31,Tim Shaw, United States,20 August 1975,US National Championships,"Kansas City, United States"
3:53.08,Brian Goodell, United States,18 June 1976,US Olympic Trials,"Long Beach, United States"
3:51.93,Brian Goodell, United States,22 July 1976,Olympic Games,"Montreal, Canada"
3:51.56,Brian Goodell, United States,27 August 1977,USA vs East Germany Dual Meet,"West Berlin, West Germany"
3:51.41,Vladimir Salnikov, Soviet Union,6 April 1979,Soviet Union vs East Germany Junior Meet,"Potsdam, East Germany"
3:51.40,Vladimir Salnikov, Soviet Union,19 August 1979,Soviet Union vs Canada Dual Meet,"Moscow, Soviet Union"
3:51.20,Vladimir Salnikov, Soviet Union,29 February 1980,Soviet Union Winter Championships,"Potsdam, East Germany"
3:50.49,Peter Szmidt, Canada,16 July 1980,Canadian Championships,"Etobicoke, Canada"
3:49.57,Vladimir Salnikov, Soviet Union,12 March 1982,Soviet Union vs East Germany Dual Meet,"Moscow, Soviet Union"
3:49.57,Vladimir Salnikov, Soviet Union,14 July 1982,Soviet Union Championships,"Kiev, Soviet Union"
3:48.32,Vladimir Salnikov, Soviet Union,19 February 1983,Soviet Union Winter Championships,"Moscow, Soviet Union"
3:47.80,Michael Gross, West Germany,27 June 1985,West German Championships,"Wuppertal, West Germany"
3:47.38,Artur Wojdat, Poland,25 March 1988,US National Championships,"Orlando, United States"
3:46.95,Uwe Dassler, East Germany,23 September 1988,Olympic Games,"Seoul, South Korea"
3:46.47,Kieren Perkins, Australia,3 April 1992,Australian Championships,"Canberra, Australia"
3:45.00,Yevgeny Sadovyi, Unified Team at the Olympics,29 July 1992,Olympic Games,"Barcelona, Spain"
3:43.80,Kieren Perkins, Australia,5 September 1994,World Championships,"Rome, Italy"
3:41.83,Ian Thorpe, Australia,22 August 1999,Pan Pacific Championships,"Sydney, Australia"
3:41.33,Ian Thorpe, Australia,13 May 2000,Australian Championships,"Sydney, Australia"
3:40.59,Ian Thorpe, Australia,16 September 2000,Olympic Games,"Sydney, Australia"
3:40.17,Ian Thorpe, Australia,22 July 2001,World Championships,"Fukuoka, Japan"
3:40.08,Ian Thorpe, Australia,30 July 2002,Commonwealth Games,"Manchester, United Kingdom"
3:40.07,Paul Biedermann, Germany,26 July 2009,World Championships,"Rome, Italy"
3:39.96,Lukas Märtens, Germany,12 April 2025,Stockholm Open,"Stockholm, Sweden"
