Time,Name,Nationality,Date,Meet,Location
29.00,Sandra Völker, Germany,24 May 1997,Mare Nostrum,"Monte Carlo, Monaco"
28.78,Sandra Völker, Germany,12 Jun 1999,Mare Nostrum,"Monte Carlo, Monaco"
28.71,Sandra Völker, Germany,1 Aug 1999,European Championships,"Istanbul, Turkey"
28.69,Nina Zhivanevskaya, Spain,8 April 2000,Spain Spring Nationals,"Madrid, Spain"
28.67,Mai Nakamura, Japan,25 April 2000,Japan Championships,"Tokyo, Japan"
28.25,Sandra Völker, Germany,17 Jun 2000,Germany Championships,"Berlin, Germany"
28.19,Janine Pietsch, Germany,25 May 2005,Germany Championships,"Berlin, Germany"
28.16,Leila Vaziri, United States,28 Mar 2007,World Championships,"Melbourne, Australia"
28.16,Leila Vaziri, United States,29 Mar 2007,World Championships,"Melbourne, Australia"
28.09,Li Yang, China,19 Oct 2007,World Military Games,"Hyderabad, India"
28.00,Hayley McGregory, United States,7 Mar 2008,Texas Senior Circuit Championships,"Austin, United States"
27.95,Emily Seebohm, Australia,22 Mar 2008,Australia Championships,"Sydney, Australia"
27.67,Sophie Edington, Australia,23 Mar 2008,Australia Championships,"Sydney, Australia"
27.67,Zhao Jing, China,9 April 2009,China Championships,"Shaoxing, China"
27.61,Daniela Samulski, Germany,26 Jun 2009,Germany Championships,"Berlin, Germany"
27.39,Daniela Samulski, Germany,29 Jul 2009,World Championships,"Rome, Italy"
27.38,Anastasia Zuyeva, Russia,29 Jul 2009,World Championships,"Rome, Italy"
27.06,Zhao Jing, China,30 Jul 2009,World Championships,"Rome, Italy"
26.98,Liu Xiang, China,21 Aug 2018,Asian Games,"Jakarta, Indonesia"
26.86,Kaylee McKeown, Australia,20 October 2023,World Cup,"Budapest, Hungary"
