Time,Name,Nationality,Date,Meet,Location
26.99,Kornelia Ender, East Germany,26 July 1975,World Championships,"Cali, Colombia"
26.95,Johanna Malloy, Canada,16 August 1977,Canadian Summer Games,"St. John's, NL, Canada"
26.74,Anne Jardin, Canada,19 August 1978,Canadian Championships,"Etobicoke, Canada"
26.61,Cynthia Woodhead, United States,10 April 1980,US Spring National Championships,"Austin, Texas, United States"
26.53,Kelly Asplund, United States,10 April 1980,US Spring National Championships,"Austin, Texas, United States"
26.32,Jill Sterkel, United States,10 April 1980,US Spring National Championships,"Austin, Texas, United States"
25.96,Jill Sterkel, United States,10 April 1980,US Spring National Championships,"Austin, Texas, United States"
25.79,Jill Sterkel, United States,3 April 1981,Longhorn Invitational,"Austin, Texas, United States"
25.69,Dara Torres, United States,29 January 1983,Speedo International,"Amersfoort, Netherlands"
25.64,Annemarie Verstappen, Netherlands,9 July 1983,Dutch Championships,"Amersfoort, Netherlands"
25.62,Dara Torres, United States,5 August 1983,US National Championships,"Clovis, California, United States"
25.61,Dara Torres, United States,21 July 1984,Pre-Olympic meet,"Mission Viejo, California, United States"
25.50,Tamara Costache, Romania,16 July 1986,Romanian Championships,"Bucharest, Romania"
25.34,Tamara Costache, Romania,16 July 1986,Romanian Championships,"Bucharest, Romania"
25.31,Tamara Costache, Romania,1 August 1986,Balkan Games,"Sofia, Bulgaria"
25.28,Tamara Costache, Romania,23 August 1986,World Championships,"Madrid, Spain"
24.98,Yang Wenyi, China,11 April 1988,Asian Championships,"Guangzhou, China"
24.79,Yang Wenyi, China,31 July 1992,Olympic Games,"Barcelona, Spain"
24.51,Le Jingyi, China,11 September 1994,World Championships,"Rome, Italy"
24.51,Inge de Bruijn, Netherlands,26 May 2000,Super Speedo Grand Prix,"Sheffield, United Kingdom"
24.48,Inge de Bruijn, Netherlands,4 June 2000,Dutch Championships,"Drachten, Netherlands"
24.39,Inge de Bruijn, Netherlands,10 June 2000,Trofeu Jose Finkel,"Rio de Janeiro, Brazil"
24.13,Inge de Bruijn, Netherlands,22 September 2000,Olympic Games,"Sydney, Australia"
24.09,Marleen Veldhuis, Netherlands,24 March 2008,European Championships,"Eindhoven, Netherlands"
23.97,Libby Trickett, Australia,29 March 2008,Australian Championships,"Sydney, Australia"
23.96,Marleen Veldhuis, Netherlands,19 April 2009,Amsterdam Swim Cup,"Amsterdam, Netherlands"
23.73,Britta Steffen, Germany,2 August 2009,World Championships,"Rome, Italy"
23.67,Sarah Sjöström, Sweden,29 July 2017,World Championships,"Budapest, Hungary"
23.61,Sarah Sjöström, Sweden,29 July 2023,World Championships,"Fukuoka, Japan"
