Time,Name,Nationality,Date,Meet,Location
13:19.0,Gertrude Ederle, United States,17 August 1919,-,"Indianapolis, United States"
12:58.2,Ethel McGary, United States,17 August 1919,-,"Detroit, United States"
12:56.0,Ethel McGary, United States,15 August 1925,-,"Indianapolis, United States"
12:47.2,Martha Norelius, United States,7 August 1926,-,"Philadelphia, United States"
12:17.8,Martha Norelius, United States,31 July 1927,-,"Massapequa, United States"
12:03.8,Josephine McKim, United States,10 August 1929,-,"Honolulu, Hawaii"
11:41.2,Helene Madison, United States,6 July 1930,-,"Long Beach, United States"
12:18.8,Yvonne Godard, France,23 July 1931,-,"Paris, France"
11:44.0,Lenore Kight, United States,23 July 1933,-,"Jones Beach, United States"
11:34.4,Lenore Kight, United States,21 July 1935,-,"Manhattan Beach, United States"
11:11.7,Ragnhild Hveger, Denmark,3 July 1936,-,"Copenhagen, Denmark"
10:52.5,Ragnhild Hveger, Denmark,13 August 1941,-,"Copenhagen, Denmark"
10:42.4,Valéria Gyenge, Hungary,28 June 1953,-,"Budapest, Hungary"
10:30.9,Lorraine Crapp, Australia,14 January 1956,-,"Sydney, Australia"
10:27.3,Mary Kok, Netherlands,16 February 1957,-,"Durban, South Africa"
10:17.7,Ilsa Konrads, Australia,9 January 1958,-,"Sydney, Australia"
10:16.2,Ilsa Konrads, Australia,20 February 1958,-,"Melbourne, Australia"
10:11.8,Ilsa Konrads, Australia,13 June 1958,-,"Townsville, Australia"
10:11.4,Ilsa Konrads, Australia,19 February 1959,-,"Hobart, Australia"
9:55.6,Jane Cederqvist, Sweden,17 August 1960,-,"Uppsala, Sweden"
9:51.6,Carolyn House, United States,26 August 1962,-,"Los Altos, United States"
9:47.3,Patty Caretto, United States,30 July 1964,-,"Los Altos, United States"
9:36.9,Sharon Finneran, United States,28 September 1964,-,"Los Angeles, United States"
9:35.8,Debbie Meyer, United States,9 July 1967,Santa Clara Invitational,"Santa Clara, United States"
9:22.9,Debbie Meyer, United States,29 July 1967,Pan American Games,"Winnipeg, Canada"
9:19.0,Debbie Meyer, United States,21 July 1968,-,"Los Angeles, United States"
9:17.8,Debbie Meyer, United States,4 August 1968,US National Championships,"Lincoln, Nebraska, United States"
9:10.4,Debbie Meyer, United States,28 August 1968,US Olympic Trials,"Los Angeles, United States"
9:09.1,Karen Moras, Australia,1 March 1970,Australian Championships,"Sydney, Australia"
9:02.45,Karen Moras, Australia,18 July 1970,Commonwealth Games,"Edinburgh, United Kingdom"
8:59.4,Ann Simmons, United States,10 September 1971,USA vs USSR vs Great Britain Dual Meet,"Minsk, Soviet Union"
8:58.1,Shane Gould, Australia,3 December 1971,-,"Sydney, Australia"
8:53.83,Jo Harshbarger, United States,6 August 1972,US Olympic Trials,"Chicago, Illinois, United States"
8:53.68,Keena Rothhammer, United States,3 September 1972,Olympic Games,"Munich, West Germany"
8:52.97,Novella Calligaris, Italy,9 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
8:50.10,Jennifer Turrall, Australia,5 January 1974,NSW Championships,"Sydney, Australia"
8:47.66,Jo Harshbarger, United States,25 August 1974,US National Championships,"Concord, United States"
8:47.59,Jo Harshbarger, United States,31 August 1974,USA vs East Germany Dual Meet,"Concord, United States"
8:43.48,Jennifer Turrall, Australia,31 March 1975,Coca-Cola International,"London, United Kingdom"
8:40.68,Petra Thümer, East Germany,4 June 1976,East German Championships,"East Berlin, East Germany"
8:39.63,Shirley Babashoff, United States,21 June 1976,USA Olympic Trials,"Long Beach, United States"
8:37.14,Petra Thümer, East Germany,25 July 1976,Olympic Games,"Montreal, Canada"
8:35.04,Petra Thümer, East Germany,9 July 1977,East German Championships,"Leipzig, East Germany"
8:34.86,Michelle Ford, Australia,6 January 1978,KBI meet,"Brisbane, Australia"
8:31.30,Michelle Ford, Australia,21 January 1978,NSW Championships,"Sydney, Australia"
8:30.53,Tracey Wickham, Australia,21 February 1978,Australian Championships,"Brisbane, Australia"
8:24.62,Tracey Wickham, Australia,5 August 1978,Commonwealth Games,"Edmonton, Canada"
8:22.44,Janet Evans, United States,27 July 1987,US National Championships,"Clovis, United States"
8:19.53,Anke Möhring, East Germany,19 August 1987,European Championships,"Strasbourg, France"
8:17.12,Janet Evans, United States,22 March 1988,US Spring National Championships,"Orlando, United States"
8:16.22,Janet Evans, United States,20 August 1989,Pan Pacific Championships,"Tokyo, Japan"
8:14.10,Rebecca Adlington, Great Britain,16 August 2008,Olympic Games,"Beijing, China"
8:13.86,Katie Ledecky, United States,3 August 2013,World Championships,"Barcelona, Spain"
8:11.00,Katie Ledecky, United States,22 June 2014,Woodlands Senior Invitational,"Shenandoah, United States"
8:07.39,Katie Ledecky, United States,8 August 2015,World Championships,"Kazan, Russia"
8:06.68,Katie Ledecky, United States,17 January 2016,Arena Pro Swim Series,"Austin, United States"
8:04.79,Katie Ledecky, United States,12 August 2016,Olympic Games,"Rio de Janeiro, Brazil"
8:04.12,Katie Ledecky, United States,3 May 2025,TYR Pro Swim Series,"Fort Lauderdale, United States"
