Time,Name,Nationality,Date,Event/Place,Source,Notes
02:05:38,Khalid Khannouchi, United States,"April 14, 2002",London Marathon,"IAAF,[52] ARRS[19]","First ""World's Best"" recognized by the International Association of Athletics Federations.[79] The ARRS notes Khannouchi's extended time as 2:05:37.8[19]"
02:04:55,Paul Tergat, Kenya,"September 28, 2003",Berlin Marathon,"IAAF,[52] ARRS[19]",First world record for the men's marathon ratified by the International Association of Athletics Federations.[80]
02:04:26,Haile Gebrselassie, Ethiopia,"September 30, 2007",Berlin Marathon,"IAAF,[52] ARRS[19]",
02:03:59,Haile Gebrselassie, Ethiopia,"September 28, 2008",Berlin Marathon,"IAAF,[52] ARRS[19]",The ARRS notes Gebrselassie's extended time as 2:03:58.2.[19] Video on YouTube
02:03:38,Patrick Makau, Kenya,"September 25, 2011",Berlin Marathon,"IAAF,[81][82] ARRS[83]",
02:03:23,Wilson Kipsang, Kenya,"September 29, 2013",Berlin Marathon,IAAF[84][85] ARRS[83],The ARRS notes Kipsang's extended time as 2:03:22.2[83]
02:02:57,Dennis Kimetto, Kenya,"September 28, 2014",Berlin Marathon,IAAF[86][87] ARRS[83],The ARRS notes Kimetto's extended time as 2:02:56.4[83]
02:01:39,Eliud Kipchoge, Kenya,"September 16, 2018",Berlin Marathon,IAAF[88],
02:01:09,Eliud Kipchoge, Kenya,"September 25, 2022",Berlin Marathon,World Athletics[89],
02:00:35,Kelvin Kiptum, Kenya,"October 8, 2023",Chicago Marathon,World Athletics[90],First man to break 2:01:00 in a record-eligible marathon.
